Deform_axial;Deform_Vol;Sigma_d_(kPa);Sigma_3_(kPa)
0;0;0;100
0.001004991;0.000519122;86.9;100
0.002009982;0.001384333;110.9;100
0.003014973;0.001874631;127.9;100
0.004120463;0.002451438;143.7;100
0.005024955;0.002884038;159.6;100
0.006029946;0.003691563;171.8;100
0.007034937;0.003835772;184.9;100
0.008039928;0.004614461;196.5;100
0.009044919;0.004845179;207;100
0.011959393;0.006143002;233;100
0.014974366;0.006489091;258.8;100
0.017888841;0.007498498;279.3;100
0.020903814;0.007873425;295.8;100
0.023818288;0.008161828;309.1;100
0.026833261;0.008306024;317.5;100
0.029747735;0.008450232;326.9;100
0.032762708;0.008882831;329.6;100
0.035677182;0.008507918;333.5;100
0.038591656;0.008738636;336.6;100
0.041606629;0.008594428;339;100
0.044521103;0.00836371;342.8;100
0.047536076;0.00836371;344.1;100
0.05045055;0.00801762;345.5;100
0.053465523;0.00793111;346.8;100
0.056379997;0.007585021;349.6;100
0.05939497;0.007354303;350.8;100
0.062309444;0.007210095;350.6;100
0.065223918;0.007065899;350.8;100
0.068238892;0.006777495;352.1;100
0.071153366;0.006575601;351.5;100
0.074168339;0.006287197;347.8;100
0.077082813;0.006200688;348.1;100
0.080097786;0.006056479;346.8;100
0.08301226;0.00562388;344.1;100
0.086027233;0.00527779;342.8;100
0.088941707;0.005047073;337.8;100
0.091856181;0.005047073;335.4;100
0.094871154;0.004845179;331.3;100
0.097785628;0.004556775;326.7;100
0.100800601;0.004556775;323.1;100
0.103715075;0.004124175;321.3;100
0.106730048;0.003749249;316.6;100
0.109644522;0.003605054;314.4;100
0.112659496;0.003605054;309.5;100
0.11557397;0.00340316;305.2;100
0.118488444;0.002884038;302.2;100
0.121503417;0.002451438;296.2;100
0.124417891;0.002163035;292.6;100
0.127432864;0.002163035;286.9;100
0.130347338;0.002105349;283.4;100
0.133362311;0.00167275;280;100
0.136276785;0.001442019;275.8;100
0.139291758;0.001528541;273.8;100
0.142206232;0.001153615;272.7;100
0.145221205;0.000951734;270.2;100
0.148135679;0.00100942;269.1;100
0.151050153;0.000721016;265.7;100
0.154065126;0.000807538;263.7;100
0.1569796;0.00066333;262.7;100
0.159994574;0.000576808;261.6;100
0.162909048;0.000374926;260.9;100
0.165924021;0.000374926;259.4;100
0.168838495;8.65E-05;258.3;100
0.171853468;0.000144208;258.1;100
0.174767942;-0.000288404;257.6;100
0.177682416;-0.000201881;256.9;100
0.180697389;-0.000432599;255.6;100
0.183611863;-0.000346077;252.9;100
0.186626836;-0.000346077;252.9;100
0.18954131;-0.000778689;252.2;100
0.192556283;-0.000865211;250;100
0.196174251;-0.000865211;250.6;100
0.198787228;-0.000922885;250.9;100
